iter	Passed	Remaining
670	10507	5151
671	10530	5140
672	10552	5127
673	10574	5114
674	10596	5102
675	10620	5090
676	10643	5077
677	10664	5064
678	10687	5052
679	10708	5039
680	10732	5027
681	10753	5014
682	10776	5001
683	10798	4988
684	10821	4976
685	10844	4963
686	10866	4950
687	10886	4936
688	10909	4924
689	10933	4912
690	10955	4898
691	10977	4885
692	10998	4872
693	11021	4859
694	11044	4846
695	11068	4834
696	11091	4821
697	11113	4808
698	11137	4796
699	11160	4783
700	11182	4769
701	11204	4756
702	11227	4743
703	11249	4729
704	11273	4717
705	11295	4703
706	11318	4690
707	11341	4677
708	11362	4663
709	11386	4650
710	11407	4636
711	11429	4623
712	11452	4609
713	11476	4596
714	11498	4583
715	11521	4569
716	11542	4555
717	11567	4543
718	11590	4529
719	11611	4515
720	11633	4501
721	11657	4488
722	11680	4475
723	11702	4461
724	11724	4447
725	11748	4433
726	11771	4420
727	11795	4406
728	11816	4392
729	11837	4378
730	11860	4364
731	11885	4351
732	11906	4337
733	11928	4322
734	11953	4309
735	11978	4296
736	12002	4283
737	12027	4269
738	12050	4255
739	12074	4242
740	12100	4229
741	12125	4216
742	12149	4202
743	12173	4188
744	12199	4175
745	12221	4161
746	12243	4146
747	12266	4132
748	12290	4118
749	12312	4104
750	12334	4089
751	12357	4075
752	12379	4060
753	12404	4046
754	12426	4032
755	12447	4017
756	12468	4002
757	12491	3988
758	12513	3973
759	12535	3958
760	12556	3943
761	12578	3928
762	12601	3914
763	12625	3899
764	12646	3884
765	12671	3870
766	12691	3855
767	12715	3841
768	12736	3826
769	12758	3810
770	12781	3796
771	12804	3781
772	12824	3765
773	12846	3751
774	12868	3735
775	12889	3720
776	12911	3705
777	12933	3690
778	12955	3675
779	12978	3660
780	12999	3645
781	13022	3630
782	13046	3615
783	13068	3600
784	13090	3585
785	13115	3570
786	13136	3555
787	13159	3540
788	13181	3525
789	13204	3509
790	13227	3495
791	13249	3479
792	13270	3464
793	13291	3448
794	13314	3433
795	13337	3418
796	13360	3402
797	13381	3387
798	13402	3371
799	13425	3356
800	13449	3341
801	13470	3325
802	13491	3309
803	13513	3294
804	13534	3278
805	13558	3263
806	13580	3247
807	13602	3232
808	13624	3216
809	13645	3200
810	13669	3185
811	13692	3170
812	13712	3154
813	13734	3138
814	13757	3122
815	13778	3106
816	13800	3091
817	13823	3075
818	13846	3060
819	13867	3044
820	13889	3028
821	13911	3012
822	13934	2996
823	13956	2981
824	13982	2965
825	14006	2950
826	14029	2934
827	14051	2918
828	14072	2902
829	14097	2887
830	14119	2871
831	14141	2855
832	14164	2839
833	14187	2823
834	14209	2807
835	14233	2792
836	14254	2776
837	14276	2759
838	14300	2744
839	14321	2727
840	14345	2712
841	14369	2696
842	14391	2680
843	14414	2664
844	14435	2647
845	14459	2632
846	14481	2615
847	14505	2600
848	14526	2583
849	14548	2567
850	14572	2551
851	14595	2535
852	14620	2519
853	14644	2503
854	14666	2487
855	14691	2471
856	14715	2455
857	14738	2439
858	14760	2422
859	14781	2406
860	14804	2390
861	14827	2373
862	14850	2357
863	14872	2340
864	14894	2324
865	14918	2308
866	14940	2291
867	14962	2275
868	14987	2259
869	15013	2243
870	15038	2227
871	15062	2211
872	15088	2194
873	15113	2178
874	15140	2162
875	15164	2146
876	15189	2130
877	15213	2113
878	15236	2097
879	15259	2080
880	15282	2064
881	15304	2047
882	15326	2030
883	15348	2014
884	15369	1997
885	15394	1980
886	15417	1964
887	15441	1947
888	15463	1930
889	15484	1913
890	15507	1897
891	15528	1880
892	15553	1863
893	15576	1846
894	15599	1830
895	15620	1813
896	15642	1796
897	15664	1779
898	15688	1762
899	15710	1745
900	15732	1728
901	15754	1711
902	15777	1694
903	15800	1677
904	15823	1661
905	15845	1644
906	15869	1627
907	15890	1610
908	15911	1592
909	15934	1575
910	15955	1558
911	15978	1541
912	15999	1524
913	16022	1507
914	16043	1490
915	16066	1473
916	16089	1456
917	16112	1439
918	16134	1422
919	16156	1404
920	16179	1387
921	16203	1370
922	16224	1353
923	16246	1336
924	16268	1319
925	16290	1301
926	16311	1284
927	16333	1267
928	16352	1249
929	16375	1232
930	16397	1215
931	16420	1198
932	16441	1180
933	16464	1163
934	16487	1146
935	16509	1128
936	16531	1111
937	16552	1094
938	16577	1076
939	16600	1059
940	16621	1042
941	16643	1024
942	16666	1007
943	16689	990
944	16713	972
945	16735	955
946	16757	937
947	16778	920
948	16803	903
949	16826	885
950	16848	868
951	16870	850
952	16892	833
953	16915	815
954	16938	798
955	16960	780
956	16985	763
957	17008	745
958	17031	728
959	17054	710
960	17076	693
961	17097	675
962	17120	657
963	17142	640
964	17162	622
965	17186	604
966	17208	587
967	17232	569
968	17256	552
969	17277	534
970	17299	516
971	17322	499
972	17344	481
973	17369	463
974	17390	445
975	17411	428
976	17436	410
977	17456	392
978	17478	374
979	17501	357
980	17523	339
981	17546	321
982	17569	303
983	17590	286
984	17613	268
985	17636	250
986	17660	232
987	17681	214
988	17703	196
989	17724	179
990	17747	161
991	17771	143
992	17794	125
993	17816	107
994	17837	89
995	17861	71
996	17883	53
997	17906	35
998	17928	17
999	17949	0
