iter	Logloss
0	0.6764856849
1	0.6615048354
2	0.6481615427
3	0.6368319586
4	0.6265825052
5	0.6175662915
6	0.6095185962
7	0.6024531282
8	0.5959018655
9	0.5900510992
10	0.585086284
11	0.5807689778
12	0.5770927151
13	0.5738110187
14	0.5705265524
15	0.5676896088
16	0.5653790128
17	0.5632739731
18	0.5612268177
19	0.5592288062
20	0.5575301892
21	0.5559001852
22	0.554426298
23	0.5531248273
24	0.551980961
25	0.5509998507
26	0.5501640235
27	0.5493623014
28	0.5485927729
29	0.5478942916
30	0.5471450518
31	0.5465194232
32	0.545924335
33	0.5453056694
34	0.544894448
35	0.5444294266
36	0.5440021967
37	0.5435480819
38	0.5431667534
39	0.5428651577
40	0.54252381
41	0.5421864673
42	0.5418762109
43	0.5416067332
44	0.5413540234
45	0.5410969509
46	0.5408156921
47	0.5405992705
48	0.5403952358
49	0.5401545484
50	0.5399500677
51	0.539730056
52	0.539549234
53	0.5393664711
54	0.5391933279
55	0.53902513
56	0.5388366804
57	0.5387337222
58	0.5386290405
59	0.538509347
60	0.5383856619
61	0.538268194
62	0.5381582985
63	0.5380293035
64	0.5379287442
65	0.5378235664
66	0.5377350427
67	0.5376334872
68	0.5375542415
69	0.537465963
70	0.5373435065
71	0.5372343784
72	0.5371813351
73	0.5370987033
74	0.53698294
75	0.5369018539
76	0.5368235035
77	0.5367298293
78	0.5366371949
79	0.5365470604
80	0.536483231
81	0.5364257151
82	0.5363695224
83	0.5363139534
84	0.5362386277
85	0.5361628493
86	0.5360784718
87	0.5360088127
88	0.5359000598
89	0.535863189
90	0.5358526038
91	0.5357521162
92	0.5356847802
93	0.5356049058
94	0.53554528
95	0.5354745501
96	0.5354117874
97	0.5353991637
98	0.5353123799
99	0.5352941339
100	0.5352379077
101	0.5351851043
102	0.5350669437
103	0.5350055559
104	0.534934252
105	0.5348902262
106	0.5348486544
107	0.5347874112
108	0.5347109201
109	0.5346492846
110	0.5345699071
111	0.5345242591
112	0.5344384512
113	0.5343805619
114	0.5343281543
115	0.5342789125
116	0.5342486842
117	0.5341808582
118	0.5341253695
119	0.5340783447
120	0.5340188116
121	0.5339363413
122	0.5338705971
123	0.5338266455
124	0.5337816014
125	0.5336989147
126	0.5336494033
127	0.5336227538
128	0.5335433262
129	0.5334878641
130	0.5334316257
131	0.5334040795
132	0.5333869539
133	0.5333195266
134	0.5332457151
135	0.5331953413
136	0.5331682512
137	0.533106106
138	0.5330444425
139	0.5329993844
140	0.5329493983
141	0.5328898529
142	0.532864274
143	0.5328198821
144	0.5327913774
145	0.5327620924
146	0.532718225
147	0.5326608323
148	0.5326115098
149	0.5325737411
150	0.5325298214
151	0.5324674125
152	0.5324351914
153	0.5324000224
154	0.5323676653
155	0.5323146754
156	0.5322586406
157	0.5322191836
158	0.5321657435
159	0.5321324506
160	0.5320959093
161	0.5320365402
162	0.5320024289
163	0.5319580965
164	0.5318950944
165	0.5318504625
166	0.5318019064
167	0.5317600004
168	0.5316932113
169	0.5316620307
170	0.5316212382
171	0.5315613091
172	0.5315276189
173	0.5314820226
174	0.5314192865
175	0.5313764231
176	0.5313538804
177	0.531320312
178	0.5312827055
179	0.5312415344
180	0.5312273821
181	0.531188874
182	0.5311558316
183	0.5311008679
184	0.5310763653
185	0.5310412598
186	0.5309962213
187	0.5309389175
188	0.5308919108
189	0.5308399206
190	0.5308115864
191	0.5307613727
192	0.5307302348
193	0.5306926303
194	0.5306531356
195	0.5306066358
196	0.530583884
197	0.5305529081
198	0.5304769067
199	0.5304263037
200	0.5303913008
201	0.5303509462
202	0.5303134917
203	0.5302895652
204	0.5302291009
205	0.5301792548
206	0.5301380107
207	0.5300908507
208	0.530043266
209	0.5300036724
210	0.5299569262
211	0.5299060578
212	0.5298635978
213	0.5298170436
214	0.5297596536
215	0.5297164229
216	0.5296574625
217	0.5296179314
218	0.5295510473
219	0.5295019525
220	0.5294642718
221	0.529425448
222	0.5293806235
223	0.5293336262
224	0.529294193
225	0.5292594249
226	0.5291961756
227	0.5291713595
228	0.5291030171
229	0.5290720525
230	0.5290518786
231	0.5289984244
232	0.5289758208
233	0.5289446223
234	0.5288906034
